0,131240;[-0,817150 -0,561277 -0,011918 -0,046098 -0,276800 0,490432 -0,621910 0,090816 0,314967 -0,546259 -0,557807 1,596786 0,000000 0,000000 0,000000 1,000000];[1,000000 0,000000 0,000000 0,000000 0,000000 -0,000000 -1,000000 0,000000 0,000000 1,000000 -0,000000 1000,000000 0,000000 0,000000 0,000000 1,000000];
0.075896;[-0.816200 -0.562230 -0.013033 -0.046572 -0.277149 0.491904 -0.621532 0.093851 0.315694 -0.545650 -0.559093 1.596939 0.000000 0.000000 0.000000 1.000000];[-0.817150 -0.561277 -0.011918 -46.097607 -0.276800 0.490432 -0.621910 90.816010 0.314967 -0.546259 -0.557807 1596.785522 0.000000 0.000000 0.000000 1.000000];
0.070536;[-0.843911 -0.534728 -0.042787 -0.031630 -0.271790 0.494953 -0.825275 0.094816 0.462500 -0.684841 -0.563021 1.529868 0.000000 0.000000 0.000000 1.000000];[-0.816200 -0.562230 -0.013033 -46.571846 -0.277149 0.491904 -0.621532 93.850578 0.315694 -0.545650 -0.559093 1596.939331 0.000000 0.000000 0.000000 1.000000];
0.123522;[-0.843847 -0.534667 -0.044980 -0.031279 -0.270588 0.496452 -0.824777 0.099176 0.463313 -0.683818 -0.563607 1.532733 0.000000 0.000000 0.000000 1.000000];[-0.858224 -0.510737 -0.050505 -30.879709 -0.265626 0.526201 -0.807764 97.841034 0.439154 -0.679838 -0.587256 1509.969971 0.000000 0.000000 0.000000 1.000000];
0.137038;[-0.841939 -0.537683 -0.044639 -0.030580 -0.272927 0.495817 -0.824405 0.102844 0.465412 -0.681932 -0.564200 1.532633 0.000000 0.000000 0.000000 1.000000];[-0.857657 -0.511844 -0.048902 -30.400398 -0.267505 0.525378 -0.807680 101.916130 0.439121 -0.679642 -0.587507 1508.863770 0.000000 0.000000 0.000000 1.000000];
0.126510;[-0.842464 -0.536972 -0.043534 -0.030126 -0.274154 0.496893 -0.823341 0.106835 0.463754 -0.681700 -0.565832 1.536361 0.000000 0.000000 0.000000 1.000000];[-0.854998 -0.516197 -0.049712 -29.595966 -0.270608 0.525848 -0.806339 105.520309 0.442394 -0.675976 -0.589278 1506.511230 0.000000 0.000000 0.000000 1.000000];
0.127136;[-0.843149 -0.536041 -0.041547 -0.028845 -0.273710 0.494454 -0.824961 0.110766 0.462776 -0.684204 -0.563616 1.539743 0.000000 0.000000 0.000000 1.000000];[-0.859382 -0.508856 -0.049803 -28.301846 -0.266182 0.528414 -0.806134 109.396744 0.436546 -0.679531 -0.589551 1515.565430 0.000000 0.000000 0.000000 1.000000];
0.124582;[-0.842699 -0.536665 -0.042253 -0.027294 -0.274847 0.496368 -0.823425 0.113980 0.462900 -0.682292 -0.565789 1.543806 0.000000 0.000000 0.000000 1.000000];[-0.863781 -0.501532 -0.047972 -27.404892 -0.266168 0.535078 -0.801731 112.141350 0.427785 -0.679762 -0.595675 1508.742676 0.000000 0.000000 0.000000 1.000000];
0.117546;[-0.842255 -0.537480 -0.040368 -0.027021 -0.275588 0.493727 -0.824755 0.117093 0.463268 -0.683553 -0.563949 1.543426 0.000000 0.000000 0.000000 1.000000];[-0.868863 -0.492594 -0.048806 -26.680960 -0.258600 0.535742 -0.803762 115.861259 0.422097 -0.685748 -0.592864 1518.104614 0.000000 0.000000 0.000000 1.000000];
0.128464;[-0.841058 -0.539314 -0.041174 -0.026521 -0.279535 0.498544 -0.820536 0.120111 0.463076 -0.678621 -0.570062 1.548226 0.000000 0.000000 0.000000 1.000000];[-0.869983 -0.490704 -0.047881 -26.127724 -0.261544 0.541620 -0.798855 117.735596 0.417956 -0.682478 -0.599533 1509.724243 0.000000 0.000000 0.000000 1.000000];
0.119263;[-0.838960 -0.542633 -0.040470 -0.026130 -0.282225 0.497502 -0.820250 0.121762 0.465240 -0.676749 -0.570528 1.545735 0.000000 0.000000 0.000000 1.000000];[-0.861880 -0.504653 -0.049412 -25.604841 -0.267804 0.535750 -0.800737 120.018639 0.430589 -0.676917 -0.596892 1518.290283 0.000000 0.000000 0.000000 1.000000];
0.117694;[-0.839112 -0.542671 -0.036576 -0.025821 -0.287403 0.499490 -0.817238 0.122869 0.461780 -0.675265 -0.575091 1.552802 0.000000 0.000000 0.000000 1.000000];[-0.861740 -0.505182 -0.046360 -25.010733 -0.273974 0.540324 -0.795560 120.694946 0.426973 -0.672874 -0.604018 1512.360840 0.000000 0.000000 0.000000 1.000000];
0.117948;[-0.839302 -0.542449 -0.035929 -0.024764 -0.288410 0.500310 -0.816378 0.123461 0.460825 -0.674827 -0.576369 1.550573 0.000000 0.000000 0.000000 1.000000];[-0.869139 -0.492270 -0.047127 -24.462393 -0.266137 0.545909 -0.794406 121.213242 0.416810 -0.677917 -0.605476 1514.262085 0.000000 0.000000 0.000000 1.000000];
0.139552;[-0.839749 -0.541984 -0.032446 -0.023954 -0.292290 0.501586 -0.814181 0.123757 0.457554 -0.674227 -0.579628 1.552750 0.000000 0.000000 0.000000 1.000000];[-0.873296 -0.484855 -0.047153 -23.602959 -0.262335 0.549608 -0.793119 121.643120 0.410484 -0.680268 -0.607158 1517.883545 0.000000 0.000000 0.000000 1.000000];
0.127908;[-0.837231 -0.545646 -0.035833 -0.022718 -0.294427 0.505033 -0.811273 0.124674 0.460783 -0.668673 -0.583480 1.551872 0.000000 0.000000 0.000000 1.000000];[-0.874748 -0.482632 -0.042853 -23.109547 -0.264748 0.550133 -0.791953 123.361862 0.405817 -0.681424 -0.608997 1520.944702 0.000000 0.000000 0.000000 1.000000];
